s3 | e50 | Surprise | Bluey and Bingo want Bandit to play with them, but they want to play very different games.  Bandit ends up trying to play both games at once.
s3 | e49 | The Sign | The Heeler's house is for sale, and Bluey's not happy about it.  Meanwhile, Frisky has run out on her wedding to Rad, sending Chilli and the kids on a quest to find and talk to her.
s3 | e48 | Ghostbasket | Bandit pretends to be a realtor, selling the house to Chilli.  But the current owners, the Grannies, perpetrate a ghost hoax to prevent the sale.
s3 | e47 | Cricket | During a birthday party cricket game, the dads struggle to bowl Rusty out, while flashbacks show how he got so good.
s3 | e46 | Slide | Bingo and Lila are excited to play with their backyard waterslide, but they don't want to squish any bugs in the process.
s3 | e45 | TV Shop | While Bandit shops at the chemist, Bluey and Bingo play with the CCTV screens.
s3 | e44 | Wild Girls | Indy is torn between playing Wild Girls with Coco, and Farmers with Chloe.
s3 | e43 | Dragon | The Heelers help Bluey draw a story about a dragon, but Bluey gets self-conscious of her drawing skills.
s3 | e42 | Show and Tell | Bandit tries to buy a secondhand surfboard, while Bingo tries to figure out what to say at Show and Tell tomorrow.  Meanwhile, Bluey wants to know why Bandit is always bossing them around.
s3 | e41 | Stickbird | The Heelers play on the beach, but Bandit is distracted, and Bingo gets upset when her stickbird is broken by another kid.
s3 | e40 | Relax | On a beach vacation, Bluey and Bingo play with the fixtures of their hotel room, as Chilli tries to let go and relax.
s3 | e39 | Exercise | Bingo pretends to be Bluey's new employee, a game that becomes part of Bandit's backyard workout.
s3 | e38 | Cubby | Bluey and Bingo build a huge pillow fort for their stuffed toy Kimjim.
s3 | e37 | The Decider | Bluey and Lucky's families get together to watch the big rugby match, but Chucky doesn't know which side to support.
s3 | e36 | Dirt | Judo desperately wants to play in the dirt with Bluey and Bingo, but she is not supposed to get herself dirty.
s3 | e35 | Smoochy Kiss | Bluey and Bingo want Dad all to themselves and will not let Mum have a smoochy kiss. They try to hide him all around the house, but Mum is desperate to spend a little romance time with her husband.
s3 | e34 | Space | Mackenzie, Jack and Rusty are playing as astronauts on a mission to Mars, but during their journey, Mackenzie keeps going missing and no one knows why, not even Mackenzie.
s3 | e33 | Granny Mobile | Muffin is playing Grouchy Granny at a garage sale, making Dad push her on an old mobility scooter, but when a real Grouchy Granny wants to buy it, Muffin won't budge.
s3 | e32 | Tradies | Bluey and Bingo hide under the house and spy on two mysterious tradies working in the backyard, wondering what they're up to.
s3 | e31 | Onesies | When Mum's sister Brandy comes over for a visit, she brings the kids onesies as a present, which has an unexpected effect on Bingo.
s3 | e30 | Turtleboy | Bingo finds a toy turtle at the playground and wants to take him home, but Dad says it is not the done thing.
s3 | e29 | Puppets | Bluey and Bingo teach Unicorse good manners so he can ask Mum on a date, but things go awry when Unicorse eats a tick.
s3 | e28 | Stories | Indy thinks she's no good because her model horse looks like a cow, but Calypso encourages her not to give up, so she tries to fix it with a little help from Winton.
s3 | e27 | Musical Statues | At the end of a long day, Bluey and her family are out of sync and out of sorts, so Mum gets everyone to play musical statues.
s3 | e26 | Fairytale | Dad tells Bluey and Bingo a real-life fairy tale about growing up in a wild place called the '80s, about a boy who was cursed when he was mean to his little brother.
s3 | e25 | Ragdoll | Dad agrees to take Bluey and Bingo to the shops to buy an ice cream if they can get him into the car. The only problem is, he's just entered `Ragdoll' mode.
s3 | e24 | Faceytalk | Bluey and Bingo love to video chat with Muffin and Socks so they can all draw pictures together. When Muffin won't give Socks a turn, the kids discover what happens when they hog.
s3 | e23 | Family Meeting | When Dad's accused of fluffing in Bluey's face as he climbs out of bed, he's put on trial with Mum as the judge, and Bluey and Bingo as witnesses. Bluey might also have to explain what she was doing there.
s3 | e22 | Whale Watching | Bluey promises her customer, Bingo, the best tour ever in a game of Whale Watching, but they need Mum and Dad to join in, and they are too tired to play after a late night.
s3 | e21 | Tina | Tired of being told what to do, Bluey and Bingo enlist their giant invisible friend to show Mum and Dad who's boss; now they can do anything they want, until Mum and Dad rebel.
s3 | e20 | Driving | With only five minutes to play `Driving', Bluey and Mum race against the clock to buy milk for a grumpy guest and have to escape an angry shopkeeper.
s3 | e19 | Pizza Girls | Bluey and Bingo are making mud pizzas and delivering them to the grownups, but their pedal car's wheel keeps falling off.
s3 | e18 | Rain | When a heavy summer rain thunders over the Heeler home, Bluey is determined to dam the water in the front yard, while Mum tries to stop her constantly tracking mud into the house.
s3 | e17 | Pavlova | Mum won't let Bingo have pavlova, so the kids find a way by playing a cheeky game of Café in the kitchen. But Dad the chef sets up a competing shop that only serves edamame beans.
s3 | e16 | Phones | Bluey and Bingo want to play restaurants with Grandad, but it's a little different than he's used to: he's going to need an app to order the food.
s3 | e15 | Explorers | While waiting to be picked up from school, Jack plays at being a sailor trying to find his way back home to Australia. Jack's dad, however, has got lost en route to collect him.
s3 | e14 | Pass the Parcel | Lucky's Dad is outraged that modern Pass the Parcel has a present in every layer and changes the rules back to only having one prize in the middle. As a result, Bingo is forever losing.
s3 | e13 | Housework | Mum and Dad vow to only finish their boring housework when the kids stop acting silly, but that's never going to happen, so they end up trying the same approach themselves.
s3 | e12 | Sheepdog | Dad agrees to play Sheepdog with Bluey and Bingo to stop them from disturbing Mom, who is taking a well-earned rest, but looking after a sheep is harder work than they expected.
s3 | e11 | Chest | Dad tries to teach Bluey how to play chess, but Mum thinks she is still too young. When Bingo joins in, the kids make up their own rules, but they still can't beat Dad.
s3 | e10 | Magic | Bluey teaches Bingo how to use magic so she can make Mum play with her, but she forgets to explain the most important rule - never use magic for cheekiness!
s3 | e9 | Curry Quest | When they go on a curry swap to Mackenzie's house through the park, Bingo and Dad must brave a swooping magpie protecting its nest.
s3 | e8 | Unicorse | Bluey can't get to sleep, so Mum reads her one last story; but they are interrupted by Unicorse, the most annoying hand puppet in the world, whom Bluey tries to reform.
